i_dblp,j_sch,dblp_id,sch_id,cos_title,jaccard_title,dice_title,Levenshtein_title
1845,55524,conf/vldb/ChakrabartiDAR97,AyDb4G2EiGwJ,0.0387529075671001,0.16666666666666666,0.2857142857142857,0.30434782608695654
2174,6007,conf/vldb/HammelP02,SU2XS1MVb40J,0.9999999999999998,1.0,1.0,1.0
1045,10586,conf/vldb/GravanoIJKMS01,w0kVbjS1psIJ,0.0050724638418492,0.05263157894736842,0.1,0.29268292682926833
243,20286,conf/sigmod/GuoSBS03,ho3IAnDHcrcJ,0.0647904573483688,0.15384615384615385,0.26666666666666666,0.13043478260869568
1986,8400,conf/vldb/WangZL03,SAbNG8szVhQJ,0.0,0.0,0.0,0.24
966,45756,conf/sigmod/AcharyaPR99,q_bQLiJ-KZAJ,0.0,0.0,0.0,0.25
2195,25543,journals/tods/BellNNS96,2VdxGfQWZMkJ,0.0284196529513792,0.07142857142857142,0.13333333333333333,0.19354838709677424
1553,63983,conf/sigmod/ZhugeGHW95,url:http://portal.acm.org/citation.cfm%3Fid%3D233269%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D233269%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0,0.0,0.0,0.2622950819672131
1637,20297,conf/vldb/AshwinRSSS97,BJBeZ446Yc0J,0.0,0.0,0.0,0.22580645161290325
189,8157,journals/sigmod/Cardelli01,UYAoi4DYOXUJ,1.0,1.0,1.0,1.0
1869,21586,conf/vldb/GravanoG95,xPkLZK36UBUJ,0.0,0.0,0.0,0.2282608695652174
1064,51926,conf/sigmod/NgLHP98,ehQ_BzRWh20J,0.0284480003523273,0.11764705882352941,0.21052631578947367,0.2530120481927711
2084,48,conf/vldb/AggarwalY02,78PlrdpBT8sJ,0.0146582988724026,0.05555555555555555,0.10526315789473684,0.22784810126582278
950,46162,conf/sigmod/LeeKC99,dXjeoFhDByIJ,0.0,0.0,0.0,0.14457831325301207
955,2183,conf/sigmod/LakshmananNHP99,5d1R2mD-7MkJ,0.0,0.0,0.0,0.2763157894736842
1748,37282,conf/vldb/KornSFSP96,qdLbwgIRnvgJ,0.813071974104031,0.7272727272727273,0.8421052631578947,0.7236842105263157
1257,46844,conf/sigmod/YangM97,OnLLKkgfyLUJ,0.0235816314931292,0.07692307692307693,0.14285714285714285,0.33870967741935487
245,52008,conf/sigmod/Al-KhalifaYJ03,zaDlTkyGASQJ,0.2271070751766372,0.2,0.3333333333333333,0.41860465116279066
1930,36764,conf/vldb/LinLYZ03,W39-xQR9dMMJ,0.0,0.0,0.0,0.24691358024691357
2350,26770,journals/vldb/AbiteboulCM98,WzT3S2G1FjcJ,1.0,1.0,1.0,1.0
1881,46671,journals/sigmod/TatarinovIMHSDDKMM03,NdmocXlpq9QJ,0.0078661656492289,0.07692307692307693,0.14285714285714285,0.26
1159,53102,conf/vldb/GoldsteinR00,V7byawkFcZMJ,0.0,0.0,0.0,0.22077922077922074
943,22710,conf/sigmod/AcharyaGPR99a,0dY1brFaEzgJ,0.0,0.0,0.0,0.0888888888888889
220,48918,conf/vldb/LitwinNS94,Ass0qgT-aa4J,1.0,1.0,1.0,1.0
