i_dblp,j_sch,dblp_id,sch_id
1845,55524,conf/vldb/ChakrabartiDAR97,AyDb4G2EiGwJ
2174,6007,conf/vldb/HammelP02,SU2XS1MVb40J
1045,10586,conf/vldb/GravanoIJKMS01,w0kVbjS1psIJ
243,20286,conf/sigmod/GuoSBS03,ho3IAnDHcrcJ
1986,8400,conf/vldb/WangZL03,SAbNG8szVhQJ
966,45756,conf/sigmod/AcharyaPR99,q_bQLiJ-KZAJ
2195,25543,journals/tods/BellNNS96,2VdxGfQWZMkJ
1553,63983,conf/sigmod/ZhugeGHW95,url:http://portal.acm.org/citation.cfm%3Fid%3D233269%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D233269%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222
1637,20297,conf/vldb/AshwinRSSS97,BJBeZ446Yc0J
189,8157,journals/sigmod/Cardelli01,UYAoi4DYOXUJ
1869,21586,conf/vldb/GravanoG95,xPkLZK36UBUJ
1064,51926,conf/sigmod/NgLHP98,ehQ_BzRWh20J
2084,48,conf/vldb/AggarwalY02,78PlrdpBT8sJ
950,46162,conf/sigmod/LeeKC99,dXjeoFhDByIJ
955,2183,conf/sigmod/LakshmananNHP99,5d1R2mD-7MkJ
1748,37282,conf/vldb/KornSFSP96,qdLbwgIRnvgJ
1257,46844,conf/sigmod/YangM97,OnLLKkgfyLUJ
245,52008,conf/sigmod/Al-KhalifaYJ03,zaDlTkyGASQJ
1930,36764,conf/vldb/LinLYZ03,W39-xQR9dMMJ
2350,26770,journals/vldb/AbiteboulCM98,WzT3S2G1FjcJ
1881,46671,journals/sigmod/TatarinovIMHSDDKMM03,NdmocXlpq9QJ
1159,53102,conf/vldb/GoldsteinR00,V7byawkFcZMJ
943,22710,conf/sigmod/AcharyaGPR99a,0dY1brFaEzgJ
