i_dblp,j_sch,dblp_id,sch_id,cos_title
1845,55524,conf/vldb/ChakrabartiDAR97,AyDb4G2EiGwJ,0.03875290756710016
2174,6007,conf/vldb/HammelP02,SU2XS1MVb40J,0.9999999999999998
1045,10586,conf/vldb/GravanoIJKMS01,w0kVbjS1psIJ,0.005072463841849269
243,20286,conf/sigmod/GuoSBS03,ho3IAnDHcrcJ,0.06479045734836889
1986,8400,conf/vldb/WangZL03,SAbNG8szVhQJ,0.0
966,45756,conf/sigmod/AcharyaPR99,q_bQLiJ-KZAJ,0.0
2195,25543,journals/tods/BellNNS96,2VdxGfQWZMkJ,0.028419652951379295
1553,63983,conf/sigmod/ZhugeGHW95,url:http://portal.acm.org/citation.cfm%3Fid%3D233269%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D233269%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0
1637,20297,conf/vldb/AshwinRSSS97,BJBeZ446Yc0J,0.0
189,8157,journals/sigmod/Cardelli01,UYAoi4DYOXUJ,1.0
1869,21586,conf/vldb/GravanoG95,xPkLZK36UBUJ,0.0
1064,51926,conf/sigmod/NgLHP98,ehQ_BzRWh20J,0.02844800035232733
2084,48,conf/vldb/AggarwalY02,78PlrdpBT8sJ,0.014658298872402694
950,46162,conf/sigmod/LeeKC99,dXjeoFhDByIJ,0.0
955,2183,conf/sigmod/LakshmananNHP99,5d1R2mD-7MkJ,0.0
1748,37282,conf/vldb/KornSFSP96,qdLbwgIRnvgJ,0.813071974104031
1257,46844,conf/sigmod/YangM97,OnLLKkgfyLUJ,0.02358163149312922
245,52008,conf/sigmod/Al-KhalifaYJ03,zaDlTkyGASQJ,0.2271070751766372
1930,36764,conf/vldb/LinLYZ03,W39-xQR9dMMJ,0.0
2350,26770,journals/vldb/AbiteboulCM98,WzT3S2G1FjcJ,1.0
1881,46671,journals/sigmod/TatarinovIMHSDDKMM03,NdmocXlpq9QJ,0.00786616564922899
1159,53102,conf/vldb/GoldsteinR00,V7byawkFcZMJ,0.0
943,22710,conf/sigmod/AcharyaGPR99a,0dY1brFaEzgJ,0.0
220,48918,conf/vldb/LitwinNS94,Ass0qgT-aa4J,0.9999999999999999
13,51069,conf/vldb/LuTD95,R51Yi7sWJ6EJ,0.0
206,53184,conf/sigmod/BenediktCFFR03,AYLM_Ah5Z0kJ,0.0
1683,26657,conf/vldb/ZouS98,5dnYlEMQTb0J,0.003636702359690751
1821,11315,journals/sigmod/HellersteinHM03,6ussAgzdL6oJ,1.0
2380,61294,journals/vldb/AgrawalHK03,nQvBo5KHITYJ,0.007010311902014291
2066,33777,conf/vldb/ZellerK02,UIWreKZndVQJ,0.9278586134789395
396,8204,conf/sigmod/ChoALS03,hbshvAkMyfMJ,0.0
1256,50941,conf/vldb/PereiraFLS00,KAW0nLm2wVAJ,1.0000000000000002
702,43185,conf/sigmod/WuAA01,wivJNEQEWzMJ,0.007331159285975527
1182,38160,conf/sigmod/AcharyaFZ97,oH_xfQI8wIgJ,0.0551674769504191
442,35906,conf/sigmod/AltinelLKMPLWB02,FRh7wTjbGAcJ,0.005797633516498912
344,32365,conf/sigmod/MinPC03,NQX3dE0STGAJ,0.0
838,29490,conf/sigmod/ChangBCLLS00,aFsgZWSkfOcJ,0.0
1285,17347,conf/sigmod/AgrawalASY97,nqOZsUydoQkJ,0.014721695961716791
77,25605,conf/vldb/FrohnLU94,xpreqF8k7N4J,0.9999999999999999
2475,39839,journals/vldb/LinJF94,lJvmD13lHJIJ,0.019451791042740287
965,11515,conf/sigmod/JagadishLS99,dRemTC899xcJ,0.0
2310,62403,journals/vldb/GarofalakisOS98,JrgorBsFBrwJ,0.033959873720415916
1390,4339,conf/sigmod/HanFWCZK96,XFCkL9QhTjIJ,0.03402912749105328
1069,13558,conf/vldb/OzsuLON01,nOUmvN1TzdMJ,0.006155209694835225
1938,9806,conf/vldb/AltinelBKMPR03,wIlHF5DfRbMJ,1.0000000000000002
1937,61074,conf/vldb/KoudasGGSV03,jqWSQmw8ScEJ,0.0
1414,12280,conf/vldb/JagadishMN99,9rDll5YAQnoJ,1.0
1337,30719,conf/vldb/LakshmananJN00,0McW0Z3yCW8J,0.03243526031225805
1944,2646,conf/vldb/AnciauxBP03,H2qCU9-_uykJ,0.0
1367,45645,conf/vldb/JagadishLS99,p5n3KKoHgMgJ,0.07215124603688665
2309,59899,journals/vldb/KrivokapicKG99,Z0oCigN4pVMJ,0.021108916999498222
2523,13842,conf/vldb/ShaferAM96,WTuHfc-D3TwJ,0.0
812,26175,journals/sigmod/Ulusoy95,uMYecZGSCv4J,1.0
1047,39813,conf/vldb/UrhanF01,luw5euo-eqsJ,0.0
1969,3642,conf/vldb/MengLLA03,_EDhM4bq8b0J,0.0
2314,51383,journals/vldb/KabraD99,MbQoYPHe0V0J,0.0
1342,39172,conf/sigmod/ShivakumarG97,DNmlZjsXOGcJ,0.0
632,59950,conf/sigmod/ClaypoolRZSK01,uuvhH2asKmEJ,0.03856967577129774
977,62614,conf/sigmod/DoRD99,V1DwPxXlTD4J,0.005460013481884273
986,51588,conf/vldb/DongHLPW01,ue3gCyIirokJ,0.06512598988974055
1965,54612,conf/vldb/HardingLM03,_ojAgiG_YREJ,0.0
989,18116,conf/vldb/LiM01,rlfxeE4k2p4J,0.0
2195,48658,journals/tods/BellNNS96,UByN6paxEXwJ,0.0
1986,19622,conf/vldb/WangZL03,brHr940q4pAJ,0.0
319,2456,conf/sigmod/ChaudhuriKN03,tnJWmxOtOrEJ,0.021547504443399673
1654,30934,conf/vldb/SeidlK97,TodiMgxv4vMJ,0.0394614229550771
1116,59366,conf/sigmod/MatiasVW98,chcojj8yN1sJ,0.0
1359,14801,conf/vldb/LeeL99,CvuDiQujuXkJ,0.0
2033,50178,conf/vldb/HuebschHLLSS03,7y9SomIIAG0J,0.9999999999999999
